a1,d1,d2,d3,d4,d5,d6,d7,d8,d9,d10,itemtype,image,question,question+AF8-label,level+AF8-1,value+AF8-level+AF8-1,level+AF8-2,value+AF8-level+AF8-2,level+AF8-3,value+AF8-level+AF8-3,level+AF8-4,value+AF8-level+AF8-4,level+AF8-5,value+AF8-level+AF8-5,level+AF8-6,value+AF8-level+AF8-6,level+AF8-7,value+AF8-level+AF8-7,level+AF8-8,value+AF8-level+AF8-8,level+AF8-9,value+AF8-level+AF8-9,level+AF8-10,value+AF8-level+AF8-10,level+AF8-11,value+AF8-level+AF8-11
0.727732876366522,+AC0-0.117285595887144,NA,NA,NA,NA,NA,NA,NA,NA,NA,graded,NA,DN4+AF8-pain+AF8-charac+AF8-painfulcold1+AF8-2,DN4 Question 2,False,0,True,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.557668701123217,0.541937518562702,NA,NA,NA,NA,NA,NA,NA,NA,NA,graded,NA,DN4+AF8-pain+AF8-charac+AF8-electric+AF8-shock1+AF8-3,DN4 Question 3,False,0,True,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.707768536483217,0.361273598417234,NA,NA,NA,NA,NA,NA,NA,NA,NA,graded,NA,DN4+AF8-pain+AF8-symp+AF8-pinsneedles2+AF8-2,DN4 Question 5,False,0,True,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.884821368714896,1.61151000525216,0.504257310723082,+AC0-0.626775172609236,+AC0-2.12115296828299,+AC0-2.60401961802256,+AC0-4.59282488216444,NA,NA,NA,NA,graded,NA,CGIS+AF8-postrx+AF8-patient+AF8-eval+AF8-1,CGIS Question 1,Very much improved,1,Much improved,2,Minimally improved,3,No change,4,Minimally worse,5,Much worse,6,Very much worse,7,NA,NA,NA,NA,NA,NA,NA,NA
0.67751073172192,2.5394781198038,1.14386032142452,0.367544184018379,+AC0-1.61091869474616,+AC0-2.35858959777399,+AC0-4.2218204997764,NA,NA,NA,NA,graded,NA,CGIS+AF8-postrx+AF8-evaluator+AF8-eval+AF8-2,CGIS Question 2,Very much improved,1,Much improved,2,Minimally improved,3,No change,4,Minimally worse,5,Much worse,6,Very much worse,7,NA,NA,NA,NA,NA,NA,NA,NA
1.41285543547963,2.40395750867237,1.27637775990366,+AC0-0.482192575254105,NA,NA,NA,NA,NA,NA,NA,graded,NA,pain+AF8-intensity,Pain Intensity Question 1,No pain,1,Mild pain,2,Moderate pain,3,Severe pain,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1.67001007763314,5.56032867113227,4.49359774986827,3.9386648736882,3.47784514231066,2.58067958340064,1.8696379196915,1.14141666703079,0.092055834223328,+AC0-1.29523371267626,+AC0-2.3394042859271,graded,NA,BPI+AF8-worstpain+AF8-24hrs+AF8-1,BPI Question 1,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11
1.06426782140073,2.98309625651526,2.38124213514504,1.41508215172978,0.655065877855364,+AC0-0.081415175423889,+AC0-0.711035856521569,+AC0-1.3010201242708,+AC0-1.96754541111698,+AC0-3.29268912657016,+AC0-4.54755647421502,graded,NA,BPI+AF8-lesspain+AF8-24hrs+AF8-2,BPI Question 2,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11
1.40683952644313,4.80850862701202,4.30259479015689,3.75654010500346,2.51751205095499,1.59620078486135,0.702379927383111,+AC0-0.139030752662849,+AC0-1.21834635457214,+AC0-2.58713371120036,+AC0-3.45504899077752,graded,NA,BPI+AF8-averagepain+AF8-24hrs+AF8-3,BPI Question 3,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11
1.56060178729851,3.35799275269961,2.77747351523193,2.23101187948484,1.61561139862123,1.19710259153165,0.57758037329652,+AC0-0.03320760762934,+AC0-0.826669589889822,+AC0-2.18045375370557,+AC0-3.35201181360372,graded,NA,BPI+AF8-pain+AF8-intensity+AF8-rightnow+AF8-4,BPI Question 4,0,1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11
